PointOfSale;Product;Date;Stock
121017;17240503103734;2019-08-17;2
121017;17240503103734;2019-08-18;2
121017;17240503103734;2019-08-19;2
121017;17240503103734;2019-08-20;2
121017;17240503103734;2019-08-21;2
121017;17240503103734;2019-08-22;2
121017;17240503103734;2019-07-27;1
132005;191084301069042;2019-06-27;2
132005;191084301069044;2019-07-03;2
132005;191084301069044;2019-07-27;2
132005;191084301069044;2019-07-28;2
132005;191084301069044;2019-07-29;2
132005;191084301069044;2019-07-30;2
132005;191084301069044;2019-07-31;2
132005;191084301069044;2019-08-01;2
132005;191084301069044;2019-08-02;2
132005;191084301069044;2019-08-03;2
132005;191084301069044;2019-08-04;2
132005;191084301069044;2019-08-05;2
132005;191084301069044;2019-08-06;2
132005;191084301069044;2019-08-07;2
132005;191084301069044;2019-07-23;2
132005;191084301069044;2019-07-24;2
132005;191084301069044;2019-07-25;2
132005;191084301069044;2019-07-26;2
132032;191102112037448;2019-07-15;1
132032;191102112037448;2019-07-16;1
132032;191102112037448;2019-07-17;1
132032;191102112037448;2019-07-18;1
132032;191102112037448;2019-07-19;1
132032;191102112037448;2019-07-20;1
132032;191102112037448;2019-07-21;1
132032;191102112037448;2019-07-22;1
132032;191102112037448;2019-06-04;1
132032;191102112037448;2019-06-05;1
132032;191102112037448;2019-06-06;1
132032;191102112037448;2019-06-07;1
132032;191102112037448;2019-06-08;1
132032;191102112037448;2019-06-09;1
132032;191102112037448;2019-06-10;1
132032;191102112037448;2019-06-11;1
132032;191102112037448;2019-06-12;1
132032;191102112037448;2019-06-13;1
132032;191102112037448;2019-06-14;1
132032;191102112037448;2019-06-15;1
132032;191102112037448;2019-06-16;1
132032;191102112037448;2019-06-17;1
132032;191102112037448;2019-06-18;1
132032;191102112037448;2019-06-19;1
132032;191102112037448;2019-06-20;1
132032;191102112037448;2019-06-21;1
132032;191102112037448;2019-06-22;1
132032;191102112037448;2019-06-23;1
132032;191102112037448;2019-06-24;1
132032;191102112037448;2019-06-25;1
132032;191102112037448;2019-06-26;1
132032;191102112037448;2019-06-27;1
132032;191102200102338;2019-07-03;1
132032;191102200102338;2019-06-28;1
132032;191102200102338;2019-06-29;1
132032;191102200102338;2019-06-30;1
132032;191102200102338;2019-07-01;1
132032;191102200102338;2019-07-02;1
132032;191102200102338;2019-07-04;1
132032;191102200102338;2019-06-01;2
132032;191102200102338;2019-06-02;2
132032;191102200102338;2019-06-03;2
132032;191102200102338;2019-06-04;2
132032;191102200102338;2019-06-05;2
132032;191102200102338;2019-06-06;2
132032;191102200102338;2019-06-07;2
132032;191102200102338;2019-06-08;2
132032;191102200102338;2019-06-09;2
132032;191102200102338;2019-06-10;2
132032;191102200102338;2019-06-11;2
132032;191102200102338;2019-06-12;2
132032;191102200102338;2019-06-13;2
132032;191102200102338;2019-06-14;2
132032;191102200102338;2019-06-15;2
132032;191102200102338;2019-06-16;2
132032;191102200102338;2019-06-17;2
132032;191102200102338;2019-06-18;2
132032;191102200102338;2019-06-19;1
132032;191102200102338;2019-06-20;1
132032;191102200102338;2019-06-21;1
132032;191102200102338;2019-06-22;1
132032;191102200102338;2019-06-23;1
132032;191102200102338;2019-06-24;1
132032;191102200102338;2019-06-25;1
132032;191102200102338;2019-06-26;1
132032;191102200102338;2019-06-27;1
132032;191102200102340;2019-07-03;1
132032;191102200102340;2019-07-27;1
132032;191102200102340;2019-07-28;1
132032;191102200102340;2019-07-29;1
132032;191102200102340;2019-07-30;1
132032;191102200102340;2019-07-31;1
132032;191102200102340;2019-08-01;1
132032;191102200102340;2019-08-02;1
132032;191102200102340;2019-07-23;1
132032;191102200102340;2019-07-24;1
132032;191102200102340;2019-07-25;1
132032;191102200102340;2019-07-26;1
132032;191102200102340;2019-06-28;1
132032;191102200102340;2019-06-29;1
132032;191102200102340;2019-06-30;1
132032;191102200102340;2019-07-01;1
132032;191102200102340;2019-07-02;1
132032;191102200102340;2019-07-04;1
132032;191102200102340;2019-07-05;1
132032;191102200102340;2019-07-06;1
132032;191102200102340;2019-07-07;1
132032;191102200102340;2019-07-08;1
132032;191102200102340;2019-07-09;1
132032;191102200102340;2019-07-10;1
132032;191102200102340;2019-07-11;1
132032;191102200102340;2019-07-12;1
132032;191102200102340;2019-07-13;1
132032;191102200102340;2019-07-14;1
132032;191102200102340;2019-07-15;1
132032;191102200102340;2019-07-16;1
132032;191102200102340;2019-07-17;1
132032;191102200102340;2019-07-18;1
132032;191102200102340;2019-07-19;1
132032;191102200102340;2019-07-20;1
132032;191102200102340;2019-07-21;1
132032;191102200102340;2019-07-22;1
132032;191102200102340;2019-06-01;2
132032;191102200102340;2019-06-02;2
132032;191102200102340;2019-06-03;2
132032;191102200102340;2019-06-04;2
132032;191102200102340;2019-06-05;2
132032;191102200102340;2019-06-06;2
132032;191102200102340;2019-06-07;2
132032;191102200102340;2019-06-08;2
132032;191102200102340;2019-06-09;2
132032;191102200102340;2019-06-10;2
132032;191102200102340;2019-06-11;2
132032;191102200102340;2019-06-12;2
132032;191102200102340;2019-06-13;2
132032;191102200102340;2019-06-14;2
132032;191102200102340;2019-06-15;1
132032;191102200102340;2019-06-16;1
132032;191102200102340;2019-06-17;1
132032;191102200102340;2019-06-18;1
132032;191102200102340;2019-06-19;1
132032;191102200102340;2019-06-20;1
132032;191102200102340;2019-06-24;1
